Class | Session | Term | Fee Items (Name:Amount) | Total Fee | Status
Grade 3 | 2022-2023 | Third Term | N/A | 0.00 | MISSING
Grade 3 | 2023-2024 | First Term | N/A | 0.00 | MISSING
Grade 3 | 2023-2024 | Second Term | N/A | 0.00 | MISSING
Grade 3 | 2023-2024 | Third Term | N/A | 0.00 | MISSING
Grade 3 | 2024-2025 | First Term | N/A | 0.00 | MISSING
Grade 3 | 2024-2025 | Second Term | N/A | 0.00 | MISSING
Grade 3 | 2024-2025 | Third Term | N/A | 0.00 | MISSING
Grade 4 | 2025-2026 | First Term | Tuition:3169.00, Library:2248.00 | 5,417.00 | COMPLETE
Grade 4 | 2025-2026 | Second Term | N/A | 0.00 | MISSING
Grade 4 | 2025-2026 | Third Term | N/A | 0.00 | MISSING
Grade 4 | 2022-2023 | First Term | N/A | 0.00 | MISSING
Grade 4 | 2022-2023 | Second Term | N/A | 0.00 | MISSING
Grade 4 | 2022-2023 | Third Term | N/A | 0.00 | MISSING
Grade 4 | 2023-2024 | First Term | N/A | 0.00 | MISSING
Grade 4 | 2023-2024 | Second Term | N/A | 0.00 | MISSING
Grade 4 | 2023-2024 | Third Term | N/A | 0.00 | MISSING
Grade 4 | 2024-2025 | First Term | N/A | 0.00 | MISSING
Grade 4 | 2024-2025 | Second Term | N/A | 0.00 | MISSING
Grade 4 | 2024-2025 | Third Term | N/A | 0.00 | MISSING
Grade 5 | 2025-2026 | First Term | Tuition:3441.00, Library:4813.00 | 8,254.00 | COMPLETE
Grade 5 | 2025-2026 | Second Term | N/A | 0.00 | MISSING
Grade 5 | 2025-2026 | Third Term | N/A | 0.00 | MISSING
Grade 5 | 2022-2023 | First Term | N/A | 0.00 | MISSING
Grade 5 | 2022-2023 | Second Term | N/A | 0.00 | MISSING
Grade 5 | 2022-2023 | Third Term | N/A | 0.00 | MISSING
Grade 5 | 2023-2024 | First Term | N/A | 0.00 | MISSING
Grade 5 | 2023-2024 | Second Term | N/A | 0.00 | MISSING
Grade 5 | 2023-2024 | Third Term | N/A | 0.00 | MISSING
Grade 5 | 2024-2025 | First Term | N/A | 0.00 | MISSING
Grade 5 | 2024-2025 | Second Term | N/A | 0.00 | MISSING
Grade 5 | 2024-2025 | Third Term | N/A | 0.00 | MISSING
Grade 6 | 2025-2026 | First Term | Tuition:3257.00, Library:1743.00 | 5,000.00 | COMPLETE
Grade 6 | 2025-2026 | Second Term | N/A | 0.00 | MISSING
Grade 6 | 2025-2026 | Third Term | N/A | 0.00 | MISSING
Grade 6 | 2022-2023 | First Term | N/A | 0.00 | MISSING
Grade 6 | 2022-2023 | Second Term | N/A | 0.00 | MISSING
Grade 6 | 2022-2023 | Third Term | N/A | 0.00 | MISSING
Grade 6 | 2023-2024 | First Term | N/A | 0.00 | MISSING
Grade 6 | 2023-2024 | Second Term | N/A | 0.00 | MISSING
Grade 6 | 2023-2024 | Third Term | N/A | 0.00 | MISSING
Grade 6 | 2024-2025 | First Term | N/A | 0.00 | MISSING
Grade 6 | 2024-2025 | Second Term | N/A | 0.00 | MISSING
Grade 6 | 2024-2025 | Third Term | N/A | 0.00 | MISSING
Grade 1 | 2025-2026 | First Term | N/A | 0.00 | MISSING
Grade 1 | 2025-2026 | Second Term | N/A | 0.00 | MISSING
Grade 1 | 2025-2026 | Third Term | N/A | 0.00 | MISSING
Grade 1 | 2022-2023 | First Term | N/A | 0.00 | MISSING
Grade 1 | 2022-2023 | Second Term | N/A | 0.00 | MISSING
Grade 1 | 2022-2023 | Third Term | N/A | 0.00 | MISSING
Grade 1 | 2023-2024 | First Term | N/A | 0.00 | MISSING
Grade 1 | 2023-2024 | Second Term | N/A | 0.00 | MISSING
Grade 1 | 2023-2024 | Third Term | N/A | 0.00 | MISSING
Grade 1 | 2024-2025 | First Term | N/A | 0.00 | MISSING
Grade 1 | 2024-2025 | Second Term | N/A | 0.00 | MISSING
Grade 1 | 2024-2025 | Third Term | N/A | 0.00 | MISSING
Grade 2 | 2025-2026 | First Term | N/A | 0.00 | MISSING
Grade 2 | 2025-2026 | Second Term | N/A | 0.00 | MISSING
Grade 2 | 2025-2026 | Third Term | N/A | 0.00 | MISSING
Grade 2 | 2022-2023 | First Term | N/A | 0.00 | MISSING
Grade 2 | 2022-2023 | Second Term | N/A | 0.00 | MISSING
Grade 2 | 2022-2023 | Third Term | N/A | 0.00 | MISSING
Grade 2 | 2023-2024 | First Term | N/A | 0.00 | MISSING
Grade 2 | 2023-2024 | Second Term | N/A | 0.00 | MISSING
Grade 2 | 2023-2024 | Third Term | N/A | 0.00 | MISSING
Grade 2 | 2024-2025 | First Term | N/A | 0.00 | MISSING
Grade 2 | 2024-2025 | Second Term | N/A | 0.00 | MISSING
Grade 2 | 2024-2025 | Third Term | N/A | 0.00 | MISSING
Grade 3 | 2025-2026 | First Term | N/A | 0.00 | MISSING
Grade 3 | 2025-2026 | Second Term | N/A | 0.00 | MISSING
Grade 3 | 2025-2026 | Third Term | N/A | 0.00 | MISSING
Grade 3 | 2022-2023 | First Term | N/A | 0.00 | MISSING
Grade 3 | 2022-2023 | Second Term | N/A | 0.00 | MISSING
Grade 3 | 2022-2023 | Third Term | N/A | 0.00 | MISSING
Grade 3 | 2023-2024 | First Term | N/A | 0.00 | MISSING
Grade 3 | 2023-2024 | Second Term | N/A | 0.00 | MISSING
Grade 3 | 2023-2024 | Third Term | N/A | 0.00 | MISSING
Grade 3 | 2024-2025 | First Term | N/A | 0.00 | MISSING
Grade 3 | 2024-2025 | Second Term | N/A | 0.00 | MISSING
Grade 3 | 2024-2025 | Third Term | N/A | 0.00 | MISSING
Grade 4 | 2025-2026 | First Term | N/A | 0.00 | MISSING
Grade 4 | 2025-2026 | Second Term | N/A | 0.00 | MISSING
Grade 4 | 2025-2026 | Third Term | N/A | 0.00 | MISSING
Grade 4 | 2022-2023 | First Term | N/A | 0.00 | MISSING
Grade 4 | 2022-2023 | Second Term | N/A | 0.00 | MISSING
Grade 4 | 2022-2023 | Third Term | N/A | 0.00 | MISSING
Grade 4 | 2023-2024 | First Term | N/A | 0.00 | MISSING
Grade 4 | 2023-2024 | Second Term | N/A | 0.00 | MISSING
Grade 4 | 2023-2024 | Third Term | N/A | 0.00 | MISSING
Grade 4 | 2024-2025 | First Term | N/A | 0.00 | MISSING
Grade 4 | 2024-2025 | Second Term | N/A | 0.00 | MISSING
Grade 4 | 2024-2025 | Third Term | N/A | 0.00 | MISSING
Grade 5 | 2025-2026 | First Term | N/A | 0.00 | MISSING
Grade 5 | 2025-2026 | Second Term | N/A | 0.00 | MISSING
Grade 5 | 2025-2026 | Third Term | N/A | 0.00 | MISSING
Grade 5 | 2022-2023 | First Term | N/A | 0.00 | MISSING
Grade 5 | 2022-2023 | Second Term | N/A | 0.00 | MISSING
Grade 5 | 2022-2023 | Third Term | N/A | 0.00 | MISSING
Grade 5 | 2023-2024 | First Term | N/A | 0.00 | MISSING
Grade 5 | 2023-2024 | Second Term | N/A | 0.00 | MISSING
Grade 5 | 2023-2024 | Third Term | N/A | 0.00 | MISSING
Grade 5 | 2024-2025 | First Term | N/A | 0.00 | MISSING
Grade 5 | 2024-2025 | Second Term | N/A | 0.00 | MISSING
Grade 5 | 2024-2025 | Third Term | N/A | 0.00 | MISSING
Grade 6 | 2025-2026 | First Term | N/A | 0.00 | MISSING
Grade 6 | 2025-2026 | Second Term | N/A | 0.00 | MISSING
Grade 6 | 2025-2026 | Third Term | N/A | 0.00 | MISSING
Grade 6 | 2022-2023 | First Term | N/A | 0.00 | MISSING
Grade 6 | 2022-2023 | Second Term | N/A | 0.00 | MISSING
Grade 6 | 2022-2023 | Third Term | N/A | 0.00 | MISSING
Grade 6 | 2023-2024 | First Term | N/A | 0.00 | MISSING
Grade 6 | 2023-2024 | Second Term | N/A | 0.00 | MISSING
Grade 6 | 2023-2024 | Third Term | N/A | 0.00 | MISSING
Grade 6 | 2024-2025 | First Term | N/A | 0.00 | MISSING
Grade 6 | 2024-2025 | Second Term | N/A | 0.00 | MISSING
Grade 6 | 2024-2025 | Third Term | N/A | 0.00 | MISSING
Grade 1 | 2025-2026 | First Term | N/A | 0.00 | MISSING
Grade 1 | 2025-2026 | Second Term | N/A | 0.00 | MISSING
Grade 1 | 2025-2026 | Third Term | N/A | 0.00 | MISSING
Grade 1 | 2022-2023 | First Term | N/A | 0.00 | MISSING
Grade 1 | 2022-2023 | Second Term | N/A | 0.00 | MISSING
Grade 1 | 2022-2023 | Third Term | N/A | 0.00 | MISSING
Grade 1 | 2023-2024 | First Term | N/A | 0.00 | MISSING
Grade 1 | 2023-2024 | Second Term | N/A | 0.00 | MISSING
Grade 1 | 2023-2024 | Third Term | N/A | 0.00 | MISSING
Grade 1 | 2024-2025 | First Term | N/A | 0.00 | MISSING
Grade 1 | 2024-2025 | Second Term | N/A | 0.00 | MISSING
Grade 1 | 2024-2025 | Third Term | N/A | 0.00 | MISSING
Grade 2 | 2025-2026 | First Term | N/A | 0.00 | MISSING
Grade 2 | 2025-2026 | Second Term | N/A | 0.00 | MISSING
Grade 2 | 2025-2026 | Third Term | N/A | 0.00 | MISSING
Grade 2 | 2022-2023 | First Term | N/A | 0.00 | MISSING
Grade 2 | 2022-2023 | Second Term | N/A | 0.00 | MISSING
Grade 2 | 2022-2023 | Third Term | N/A | 0.00 | MISSING
Grade 2 | 2023-2024 | First Term | N/A | 0.00 | MISSING
Grade 2 | 2023-2024 | Second Term | N/A | 0.00 | MISSING
Grade 2 | 2023-2024 | Third Term | N/A | 0.00 | MISSING
Grade 2 | 2024-2025 | First Term | N/A | 0.00 | MISSING
Grade 2 | 2024-2025 | Second Term | N/A | 0.00 | MISSING
Grade 2 | 2024-2025 | Third Term | N/A | 0.00 | MISSING
Grade 3 | 2025-2026 | First Term | N/A | 0.00 | MISSING
Grade 3 | 2025-2026 | Second Term | N/A | 0.00 | MISSING
Grade 3 | 2025-2026 | Third Term | N/A | 0.00 | MISSING
Grade 3 | 2022-2023 | First Term | N/A | 0.00 | MISSING
Grade 3 | 2022-2023 | Second Term | N/A | 0.00 | MISSING
Grade 3 | 2022-2023 | Third Term | N/A | 0.00 | MISSING
Grade 3 | 2023-2024 | First Term | N/A | 0.00 | MISSING
Grade 3 | 2023-2024 | Second Term | N/A | 0.00 | MISSING
Grade 3 | 2023-2024 | Third Term | N/A | 0.00 | MISSING
Grade 3 | 2024-2025 | First Term | N/A | 0.00 | MISSING
Grade 3 | 2024-2025 | Second Term | N/A | 0.00 | MISSING
Grade 3 | 2024-2025 | Third Term | N/A | 0.00 | MISSING
Grade 4 | 2025-2026 | First Term | N/A | 0.00 | MISSING
Grade 4 | 2025-2026 | Second Term | N/A | 0.00 | MISSING
Grade 4 | 2025-2026 | Third Term | N/A | 0.00 | MISSING
Grade 4 | 2022-2023 | First Term | N/A | 0.00 | MISSING
Grade 4 | 2022-2023 | Second Term | N/A | 0.00 | MISSING
Grade 4 | 2022-2023 | Third Term | N/A | 0.00 | MISSING
Grade 4 | 2023-2024 | First Term | N/A | 0.00 | MISSING
Grade 4 | 2023-2024 | Second Term | N/A | 0.00 | MISSING
Grade 4 | 2023-2024 | Third Term | N/A | 0.00 | MISSING
Grade 4 | 2024-2025 | First Term | N/A | 0.00 | MISSING
Grade 4 | 2024-2025 | Second Term | N/A | 0.00 | MISSING
Grade 4 | 2024-2025 | Third Term | N/A | 0.00 | MISSING
Grade 5 | 2025-2026 | First Term | N/A | 0.00 | MISSING
Grade 5 | 2025-2026 | Second Term | N/A | 0.00 | MISSING
Grade 5 | 2025-2026 | Third Term | N/A | 0.00 | MISSING
Grade 5 | 2022-2023 | First Term | N/A | 0.00 | MISSING
Grade 5 | 2022-2023 | Second Term | N/A | 0.00 | MISSING
Grade 5 | 2022-2023 | Third Term | N/A | 0.00 | MISSING
Grade 5 | 2023-2024 | First Term | N/A | 0.00 | MISSING
Grade 5 | 2023-2024 | Second Term | N/A | 0.00 | MISSING
Grade 5 | 2023-2024 | Third Term | N/A | 0.00 | MISSING
Grade 5 | 2024-2025 | First Term | N/A | 0.00 | MISSING
Grade 5 | 2024-2025 | Second Term | N/A | 0.00 | MISSING
Grade 5 | 2024-2025 | Third Term | N/A | 0.00 | MISSING
Grade 6 | 2025-2026 | First Term | N/A | 0.00 | MISSING
Grade 6 | 2025-2026 | Second Term | N/A | 0.00 | MISSING
Grade 6 | 2025-2026 | Third Term | N/A | 0.00 | MISSING
Grade 6 | 2022-2023 | First Term | N/A | 0.00 | MISSING
Grade 6 | 2022-2023 | Second Term | N/A | 0.00 | MISSING
Grade 6 | 2022-2023 | Third Term | N/A | 0.00 | MISSING
Grade 6 | 2023-2024 | First Term | N/A | 0.00 | MISSING
Grade 6 | 2023-2024 | Second Term | N/A | 0.00 | MISSING
Grade 6 | 2023-2024 | Third Term | N/A | 0.00 | MISSING
Grade 6 | 2024-2025 | First Term | N/A | 0.00 | MISSING
Grade 6 | 2024-2025 | Second Term | N/A | 0.00 | MISSING
Grade 6 | 2024-2025 | Third Term | N/A | 0.00 | MISSING
Grade 1 | 2025-2026 | First Term | N/A | 0.00 | MISSING
Grade 1 | 2025-2026 | Second Term | N/A | 0.00 | MISSING
Grade 1 | 2025-2026 | Third Term | N/A | 0.00 | MISSING
Grade 1 | 2022-2023 | First Term | N/A | 0.00 | MISSING
Grade 1 | 2022-2023 | Second Term | N/A | 0.00 | MISSING
Grade 1 | 2022-2023 | Third Term | N/A | 0.00 | MISSING
Grade 1 | 2023-2024 | First Term | N/A | 0.00 | MISSING
Grade 1 | 2023-2024 | Second Term | N/A | 0.00 | MISSING
Grade 1 | 2023-2024 | Third Term | N/A | 0.00 | MISSING
Grade 1 | 2024-2025 | First Term | N/A | 0.00 | MISSING
Grade 1 | 2024-2025 | Second Term | N/A | 0.00 | MISSING
Grade 1 | 2024-2025 | Third Term | N/A | 0.00 | MISSING
Grade 2 | 2025-2026 | First Term | N/A | 0.00 | MISSING
Grade 2 | 2025-2026 | Second Term | N/A | 0.00 | MISSING
Grade 2 | 2025-2026 | Third Term | N/A | 0.00 | MISSING
Grade 2 | 2022-2023 | First Term | N/A | 0.00 | MISSING
Grade 2 | 2022-2023 | Second Term | N/A | 0.00 | MISSING
Grade 2 | 2022-2023 | Third Term | N/A | 0.00 | MISSING
Grade 2 | 2023-2024 | First Term | N/A | 0.00 | MISSING
Grade 2 | 2023-2024 | Second Term | N/A | 0.00 | MISSING
Grade 2 | 2023-2024 | Third Term | N/A | 0.00 | MISSING
Grade 2 | 2024-2025 | First Term | N/A | 0.00 | MISSING
Grade 2 | 2024-2025 | Second Term | N/A | 0.00 | MISSING
Grade 2 | 2024-2025 | Third Term | N/A | 0.00 | MISSING
Grade 3 | 2025-2026 | First Term | N/A | 0.00 | MISSING
Grade 3 | 2025-2026 | Second Term | N/A | 0.00 | MISSING
Grade 3 | 2025-2026 | Third Term | N/A | 0.00 | MISSING
Grade 3 | 2022-2023 | First Term | N/A | 0.00 | MISSING
Grade 3 | 2022-2023 | Second Term | N/A | 0.00 | MISSING
Grade 3 | 2022-2023 | Third Term | N/A | 0.00 | MISSING
Grade 3 | 2023-2024 | First Term | N/A | 0.00 | MISSING
Grade 3 | 2023-2024 | Second Term | N/A | 0.00 | MISSING
Grade 3 | 2023-2024 | Third Term | N/A | 0.00 | MISSING
Grade 3 | 2024-2025 | First Term | N/A | 0.00 | MISSING
Grade 3 | 2024-2025 | Second Term | N/A | 0.00 | MISSING
Grade 3 | 2024-2025 | Third Term | N/A | 0.00 | MISSING
Grade 4 | 2025-2026 | First Term | N/A | 0.00 | MISSING
Grade 4 | 2025-2026 | Second Term | N/A | 0.00 | MISSING
Grade 4 | 2025-2026 | Third Term | N/A | 0.00 | MISSING
Grade 4 | 2022-2023 | First Term | N/A | 0.00 | MISSING
Grade 4 | 2022-2023 | Second Term | N/A | 0.00 | MISSING
Grade 4 | 2022-2023 | Third Term | N/A | 0.00 | MISSING
Grade 4 | 2023-2024 | First Term | N/A | 0.00 | MISSING
Grade 4 | 2023-2024 | Second Term | N/A | 0.00 | MISSING
Grade 4 | 2023-2024 | Third Term | N/A | 0.00 | MISSING
Grade 4 | 2024-2025 | First Term | N/A | 0.00 | MISSING
Grade 4 | 2024-2025 | Second Term | N/A | 0.00 | MISSING
Grade 4 | 2024-2025 | Third Term | N/A | 0.00 | MISSING
Grade 5 | 2025-2026 | First Term | N/A | 0.00 | MISSING
Grade 5 | 2025-2026 | Second Term | N/A | 0.00 | MISSING
Grade 5 | 2025-2026 | Third Term | N/A | 0.00 | MISSING
Grade 5 | 2022-2023 | First Term | N/A | 0.00 | MISSING
Grade 5 | 2022-2023 | Second Term | N/A | 0.00 | MISSING
Grade 5 | 2022-2023 | Third Term | N/A | 0.00 | MISSING
Grade 5 | 2023-2024 | First Term | N/A | 0.00 | MISSING
Grade 5 | 2023-2024 | Second Term | N/A | 0.00 | MISSING
Grade 5 | 2023-2024 | Third Term | N/A | 0.00 | MISSING
Grade 5 | 2024-2025 | First Term | N/A | 0.00 | MISSING
Grade 5 | 2024-2025 | Second Term | N/A | 0.00 | MISSING
Grade 5 | 2024-2025 | Third Term | N/A | 0.00 | MISSING
Grade 6 | 2025-2026 | First Term | N/A | 0.00 | MISSING
Grade 6 | 2025-2026 | Second Term | N/A | 0.00 | MISSING
Grade 6 | 2025-2026 | Third Term | N/A | 0.00 | MISSING
Grade 6 | 2022-2023 | First Term | N/A | 0.00 | MISSING
Grade 6 | 2022-2023 | Second Term | N/A | 0.00 | MISSING
Grade 6 | 2022-2023 | Third Term | N/A | 0.00 | MISSING
Grade 6 | 2023-2024 | First Term | N/A | 0.00 | MISSING
Grade 6 | 2023-2024 | Second Term | N/A | 0.00 | MISSING
Grade 6 | 2023-2024 | Third Term | N/A | 0.00 | MISSING
Grade 6 | 2024-2025 | First Term | N/A | 0.00 | MISSING
Grade 6 | 2024-2025 | Second Term | N/A | 0.00 | MISSING
Grade 6 | 2024-2025 | Third Term | N/A | 0.00 | MISSING
